epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,892.825,0.80221,0.50222,1.09016,0.87183,0.84804,0.89407,0.48143,1.90433,0.87582,2.24677,0.000225068,0.000225068,0.000225068
154,899.093,0.73763,0.47027,1.0413,0.86126,0.83673,0.88614,0.4689,1.89469,0.90478,2.24522,0.000220569,0.000220569,0.000220569
155,904.506,0.792,0.52841,1.06936,0.88452,0.92899,0.92106,0.47624,1.89531,0.89618,2.24456,0.000216069,0.000216069,0.000216069
156,910.729,0.74351,0.47338,1.03197,0.83396,0.89028,0.89327,0.48405,1.87556,0.9547,2.19552,0.00021157,0.00021157,0.00021157
157,916.204,0.80003,0.49194,1.08494,0.84775,0.84796,0.86967,0.47209,1.90179,0.91146,2.23435,0.00020707,0.00020707,0.00020707
158,922.345,0.75041,0.47792,1.02628,0.88602,0.90581,0.91421,0.48254,1.8924,0.88533,2.21946,0.000202571,0.000202571,0.000202571
159,927.834,0.76131,0.48857,1.0652,0.91989,0.89097,0.93392,0.49861,1.90573,0.86109,2.2344,0.000198071,0.000198071,0.000198071
160,933.683,0.76868,0.49681,1.0522,0.85815,0.94649,0.90295,0.49172,1.91877,0.91293,2.23451,0.000193572,0.000193572,0.000193572
161,939.518,0.7318,0.48637,1.05738,0.88771,0.85311,0.89816,0.47822,1.93033,0.94988,2.22415,0.000189072,0.000189072,0.000189072
162,944.933,0.73975,0.47813,1.05001,0.89322,0.88609,0.90474,0.46477,1.95475,0.92367,2.29344,0.000184572,0.000184572,0.000184572
163,951.098,0.75244,0.50942,1.0513,0.84415,0.86834,0.90169,0.4599,1.95241,0.91614,2.34344,0.000180073,0.000180073,0.000180073
164,956.568,0.74572,0.45544,1.06451,0.88394,0.87091,0.88985,0.45217,1.94298,0.93627,2.3178,0.000175573,0.000175573,0.000175573
165,962.8,0.75243,0.47574,1.04833,0.84093,0.8678,0.86123,0.46027,1.95705,1.03362,2.28501,0.000171074,0.000171074,0.000171074
166,968.194,0.73572,0.48982,1.0433,0.84087,0.86523,0.85549,0.46163,1.93326,0.99143,2.26937,0.000166574,0.000166574,0.000166574
167,974.468,0.72148,0.47708,1.0268,0.90135,0.83585,0.89441,0.46628,1.92755,0.96252,2.26196,0.000162075,0.000162075,0.000162075
168,979.93,0.70266,0.4563,1.01516,0.84272,0.84981,0.85658,0.45744,1.94133,1.02747,2.28311,0.000157575,0.000157575,0.000157575
169,985.708,0.68334,0.46425,1.0098,0.81019,0.88444,0.85532,0.47968,1.92042,0.97985,2.28765,0.000153076,0.000153076,0.000153076
170,991.599,0.70248,0.44539,1.02383,0.84507,0.83047,0.84982,0.4667,1.88521,0.93223,2.23822,0.000148576,0.000148576,0.000148576
171,997.015,0.73558,0.47465,1.03944,0.78146,0.88418,0.87188,0.45686,1.91894,0.88012,2.29058,0.000144077,0.000144077,0.000144077
172,1003.15,0.71774,0.48419,1.02042,0.81048,0.88413,0.87115,0.44966,1.96119,0.89267,2.34848,0.000139577,0.000139577,0.000139577
173,1008.69,0.70439,0.48353,1.03582,0.84719,0.85714,0.87129,0.45453,1.97146,0.90098,2.33149,0.000135077,0.000135077,0.000135077
174,1014.89,0.72106,0.48227,1.04429,0.83617,0.85109,0.86956,0.45109,1.97774,0.96189,2.33861,0.000130578,0.000130578,0.000130578
175,1020.32,0.67414,0.46641,1.01286,0.84285,0.83374,0.85581,0.46586,1.97359,1.00205,2.32848,0.000126078,0.000126078,0.000126078
176,1026.49,0.69743,0.48472,1.04024,0.84137,0.84634,0.86884,0.46289,1.91914,0.96768,2.26685,0.000121579,0.000121579,0.000121579
177,1031.93,0.689,0.45986,1.00393,0.8444,0.85575,0.87029,0.45609,1.89945,0.9402,2.24157,0.000117079,0.000117079,0.000117079
178,1037.93,0.69662,0.45356,1.035,0.87956,0.8435,0.87997,0.47374,1.85369,0.91359,2.20263,0.00011258,0.00011258,0.00011258
179,1043.7,0.70675,0.47129,1.02871,0.85812,0.88095,0.89599,0.48156,1.84721,0.89559,2.1866,0.00010808,0.00010808,0.00010808
180,1049.23,0.64673,0.43551,0.99539,0.83267,0.88183,0.88648,0.47823,1.8575,0.9228,2.18314,0.000103581,0.000103581,0.000103581
181,1055.3,0.65908,0.45678,1.00065,0.77419,0.87296,0.86533,0.47529,1.88635,0.99684,2.24692,9.9081e-05,9.9081e-05,9.9081e-05
